id;text;target;label;oldtarget
128;"Physical Access Control Using Network as Code : A Case Study of Nokia Corporation The thesis aims to answer the design challenge ?Network as Code anywhere?, provided by the client company, Nokia Corporation. Network as Code or NaC is a set of features which enable programmatic 5G or fifth-generation evolution of mobile networks in a simplified manner, without the need for specialized network programming skills.

The thesis was done using the Design Sprint methodology, with the design part conducted in a five-day Sprint. The knowledge base used for creation of the resulting concept consists of research conducted in the form of a survey, informal feedback from potential end-users, and benchmarking existing solutions, as well as studying the technical requirements for such solution, including 5G Networks and 5G-Advanced Networks, NaC as well as the APIs or Application Programmable Interfaces, functionality available within NaC, and GNSS or Global Navigation Satellite Systems location services among others.  

Based on results of benchmarking and the survey, it became apparent that in many places today, physical access control solutions rely on old, insecure and non-flexible systems which require physical keycards or keyfobs which are easy to lose, and which do not allow for much flexibility in changing environments.

The result of the sprint was a concept of a scalable, secure and dynamic physical access control solution utilizing Network as Code and advanced 5G features. The solution aims to modernize physical access control, and provide an easy, keyless way for users to request access on an on-need basis, from an application on their mobile device. The concept was portrayed in an interactable prototype, which follows a user on their journey using the application from authenticating their device, requesting access, to automatic revocation of access. 

Keywords: Physical Access Control, 5G Network, Network as Code, Nokia, Design Sprint";1;NOKIA_COLLABORATION;1
129;"Security-Oriented Network-As-Code Solutions for Access Control in Healthcare Facilities : A Case Study of Nokia Corporation The thesis provided solutions for Network-As-Code based access control focusing on the aspects of security. The purpose was to provide a layer of extra security that utilizes 5G networks, and that can be implemented on existing access control systems. The work was commissioned by Nokia, and its intention was to offer additional use cases for Network-As-Code technology.

The model presented demonstrates an access control method, where a physical access token is combined with device location in a private 5G network. This is combined with network-as-code, to provide flexibility and enhanced security in managing dynamic access permissions across the private 5G network.

The thesis was undertaken as part of a dedicated five-day long service design sprint for Nokia, during which valuable feedback was provided by both Nokia representatives and the supervising teachers. Other research methods used in this study included benchmarking existing similar solutions and surveying personnel in healthcare facilities to gather important background information. The survey conducted for healthcare personnel revealed concerns in access control security but also demonstrated trust towards the current solution. Benchmarking revealed the lack of similar solutions, making it possible to implement this solution on top of the existing ones.

A theoretical prototype was designed and presented to demonstrate the functionality of this solution, and the explanation was visualised in multiple story boards. These story boards covered the functionality of the solution and the way it works for the user.

The work provides insights into the future of access control security. It is recommended that in the future this prototype should be further developed into a functional one, and the concept can be broadened to cover other fields as well.";1;NOKIA_COLLABORATION;1
130;"Unleashing the Power of YouTube Video Marketing : Comprehensive Road Map for Companies This bachelor's thesis examines how YouTube, as a marketing tool, helps businesses grow and succeed in video marketing, drawing on the case study companies of Nokia, Lego, and Red Bull.  This thesis research utilizes publicly available secondary data sources and YouTube data during the data collection. The primary objective is to analyze each company's user engagement, return on investment (ROI), and content reach using YouTube. Reports from Social Blade, a third-party data source, are used to access analytics for companies such as Nokia, Lego, and Red Bull.

Through this study, the research questions have been effectively addressed. The first research question examines how YouTube video marketing strategies contribute to business growth by analyzing selected case studies. The findings demonstrate how businesses leverage YouTube marketing strategies such as audience engagement, brand awareness, content strategies, and consistency. The second research question explores the metrics and indicators companies use to evaluate the impact of YouTube marketing strategies. The key performance indicators identified include video views, likes, shares, comments, and subscription growth. The metrics serve as critical benchmarks to assess audience engagement, content effectiveness, and overall marketing performance on YouTube.

The findings of this study offer a structured road map for companies to enhance growth through YouTube video marketing. It emphasizes the importance of aligning digital marketing strategies with brand values to engage global audiences effectively. Future research could explore the role of AI in optimizing YouTube-based digital marketing strategies.

Keywords: YouTube, Digital marketing, Video content creation, Marketing Strategies";0;NOKIA_COLLABORATION;1
131;"Agentic AI Enhancing Project Compliance - A Case Study of Nokia Corporation The thesis examines how generative and agentic artificial intelligence can enhance productivity and compliance within research and development(R&D) environments at Nokia Corporation. Conducted as a collaborative project between Laurea University of Applied Sciences and Nokia, the study focuses on designing a solution that supports employees in meeting data protection and AI governance requirements during daily project work. 

Using the Design Sprint methodology, the project progressed through problem definition, brainstorming, competitive benchmarking, survey-based user research, and rapid prototyping. The survey results, collected from individuals working primarily in IT and service sectors, highlighted extensive daily use of AI tools as well as recurring uncertainty regarding GDPR compliance. 

Based on these findings, the team developed the GDPR & AI Act Assistant prototype of an agentic AI system capable of providing real-time regulatory guidance, detecting potential compliance risks, and initiating automated legal review processes within project workflows. The prototype demonstrates how AI-driven support can reduce manual compliance efforts, increase regulatory awareness, and enable more efficient development practices. 

The findings suggest that integrating agentic AI into R&D processes can streamline knowledge intensive tasks, strengthen adherence to regulatory frameworks, and rein-force responsible innovation within large technology organizations. For the future scope, it is recommended for this solution to be extended to more regulations, as this version?s planned knowledge is limited to the GDPR and EU AI Act, meaning it would not work for matters relating to countries outside the EU, which both regulations stem from.";1;NOKIA_COLLABORATION;1
132;"Tracing Technical Debt by AI-Based Correlation  Agent : A Case Study of Nokia Corporation The objective of the project was to design and evaluate a solution that improves the efficiency of software maintenance processes and reduces technical debt within development environments. Nokia provided the broad development challenge on the theme of Artificial Intelligence, thereby serving as the commissioning organization for the project's overall scope. The project team then specified the purpose to create and assess a concept for an AI-powered Correlation Agent capable of identifying root causes of technical debt and supporting proactive maintenance.  

The development task was to conceptualize and prototype an AI agent that integrates structural code data with dispersed textual contexts such as Git commit messages and documentation, in order to diagnose and mitigate technical debt. Nokia benefits from reduced maintenance costs, faster workflows, and improved code quality based on the potential of this solution. 

The study builds on theories of technical debt management, agentic AI versus generative AI capabilities, and correlation analysis as a statistical method for identifying relationships between key indicators and maintenance goals. The research employed a Design Sprint approach complemented by brainstorming sessions, current-state mapping, benchmarking of existing tools (CodeScene, SonarQube, Greptile, Powerdrill), and structured questionnaire interviews with IT Systems Specialists. 

The tools that are already available do not combine code analysis with contextual information, which makes it more difficult to solve problems. Agentic AI, due to its inherent multi-step reasoning capabilities, is highly suitable for multi-step maintenance workflows and proactive risk detection. A prototype named Code Colleague (CoCo) demonstrated that a conversational interface enhances collaboration between developers and the AI agent. 

The Correlation AI Agent can significantly reduce manual investigation time, accelerate fault correction, and lower long-term maintenance costs. The focus of future development should be on integrating the Correlation AI Agent into a multi-agent chain, defining inter-agent collaboration protocols, and establishing auditing mechanisms for AI-driven processes. 

Keywords: ?Technical Debt, Agentic AI, Correlation AI Agent, Software Maintenance, Design Sprint?";1;NOKIA_COLLABORATION;1
133;"AI-based Supply Chain Disruption Agent: A Case Study of Nokia Corporation The thesis was conducted at Laurea University of Applied Sciences in collaboration with Nokia. Its primary objective was to develop a prototype of an AI-driven supply chain management tool capable of predicting potential disruptions and providing actionable recommendations for both prevention and resolution. The prototype illustrates a practical application enabled by recent technological advancements. 

The theoretical framework begins by examining the impact of technological development on industry, with a particular emphasis on Industry 4.0 as the lens through which supply chain management is analysed. Core concepts addressed include Industry 4.0, supply chain management, logistics, and cyber-physical systems (CPS). The study provides an in-depth exploration of artificial intelligence, encompassing machine learning, generative AI, agentic AI, and large language models, and evaluates their relevance to modern supply chain operations. Ethical considerations are also discussed, with reference to regulatory frameworks such as the EU AI Act, highlighting the importance of responsible AI implementation. 

The prototype was developed during an intensive five-day design sprint, and the methodology is presented both theoretically and practically in relation to the development process. While the solution is suitable for small-scale deployment, a fully operational enterprise-level implementation would require further refinement and testing. Despite these limitations, the concept demonstrates strong potential, particularly in addressing information flow challenges that often hinder efficiency in large organizations. 

Keywords:   

??artificial intelligence, 5G technology, supply chain, industry 4.0, disruption management?";1;NOKIA_COLLABORATION;1
147;"Smart Chatbot for Discovering Finnish Theses: A Conversational System Using RAG and Theseus Data This thesis presents a conversational chatbot system for discovering Finnish university theses. It is using ?Retrieval-Augmented Generation? (RAG) technology. The project was developed during an internship at Nokia Garage Espoo. It integrated into Nokia Stand, a collaborative platform showcasing Nokia and Metropolia University partnerships.

The traditional keyword-based search on Theseus.fi, Finland's national thesis repository, requires exact questions and multiple attempts to find relevant content. This thesis addresses these limitations by implementing a RAG-based chatbot. The chatbot understands semantic meaning and enables natural language interaction, interpreting what users want rather than simply matching keywords.

The system has two main parts. The first part is a mobile app built with React Native. The second part is a backend built with Node.js that uses RAG technology. The backend collects thesis information from Theseus.fi. It then turns this data into vectors using a model called all-MiniLM-L6-v2. The system stores 45 Nokia-related theses in its memory. When users ask questions, the system finds the right theses and creates answers using ready-made templates. This makes the system very fast. It gives answers in less than 0.5 seconds. All development, implementation, and testing were conducted in a local development environment. Testing showed that semantic search successfully retrieves relevant theses regardless of terminology differences, demonstrating that RAG technology improves academic search experiences compared to traditional keyword matching.";1;NOKIA_COLLABORATION;1
149;"Analysis and Visualization of Uplink Interference in LTE and 5G Networks Using RIP Counters This thesis presents the design and development of a Python based application utilizing Received Interference Power counters to analyze and visualize uplink interference in LTE and 5G networks, commissioned by Nokia Solutions and Networks Oy. The program overcomes the issues of existing internal tools by allowing a fullspectrum analysis of outside of the time domain view. The program takes Received Interference Power (RIP) counter information from Base Transceiver Stations snapshots, displays it in an interactive graphical user interface made with PyQT5 and Matplotlib, and engineers using this program identify the nature and shape of the uplink interference which can assist in detecting the presence of Passive Intermodulation (PIM) in a time efficient manner.

The foundations of uplink interference is based on the radio frequency theory and network architecture, specifically the function of Physical Resource Blocks (PRBs) and propagation properties of wireless signals. The fundamental units of resource allocation in LTE and 5G are PRBs, and RIP counters make it possible to measure the interference across these units. The power levels across these blocks are impacted by interference particularly PIM sources, which show up in RIP plots as slopes. This visualization of the slope will make this tool greatly increase an engineer?s effectiveness in detecting and diagnosing network problems.";1;NOKIA_COLLABORATION;1
189;"Smart Thermal Management Testing This thesis work was commissioned by Nokia Oyj. The goal was to run tests for 
different radio units to verify a feature called ?Smart thermal management? works, 
study it and provide analysis on how it impacts the static test models used in RF 
performance testing.

The feature itself combines different methods to reduce radio unit temperature as 
required. The target of this is to meet customer needs, improve the longevity of 
the unit and cut down on maintenance costs, while still providing reliable 
connection from the user?s point of view.

Five different radio units were successfully tested during this study. With the help 
of the completed tests the testing process was optimized to provide more 
accurate results and better monitoring. The impact on static test models used in 
RF performance testing was addressed with a new procedure called 
?Temperature chamber calibration?. New temperature configuration was also 
created that can be further improved in the future.

For the reader, this thesis provides a good overview of what RF testing and the 
testing process for new features can be like.";1;NOKIA_COLLABORATION;1
191;"PI-simulaatiotuloksien verifiointi : Simulaatiotuloksien vertailu mittaustuloksiin Opinn?ytety? toteutettiin toimeksiantona Nokia Solutions and Networks Oy:lle. Opinn?ytety?n tavoitteena oli verrata j?nnitearvojen vastaavuutta simulaatio- sek? mittaustuloksien v?lill?. Vertailun avulla pystyttiin verifioimaan simulaatiotuloksien tarkkuutta sek? luotettavuutta.
Tutkimusta varten mitattiin j?nnitearvoja toimeksiantajan omasta elektroniikkalaitteesta sek? saatiin laitteen piirilevyn kytkent?, kuparointi- ja asettelutiedostot. Laitteen piirilevylle suoritettiin useampi simulaatio ja tuloksia vertailtiin mitattuihin arvoihin.
Lopuksi varmistettiin, ett? simulaatiotulokset olivat tarpeeksi l?hell? mitattuja j?nnitearvoja.";1;NOKIA_COLLABORATION;1
194;"Big data handling through automated dataflow : network performance analytics suite The subject of the thesis is big data handling and data visualization in NPAS
environment. The study deals with discusses about being able to monitor single
individual user equipment in network based on IMSI, which has not been done
yet in over the air testing of 5G. The purpose of this work was to create a new
kind of dataflow with IMSI mapping for test analytics in Nokia. OTA testing lacks
the ability to monitor single individual real UEs during testing, so Nokia?s OTA
teams needed a new tool for separating real UE data from other simulator generated traffic for analyzing KPIs on single UE level.
The study consists of a theory section and a practical section. First some background information is provided and after that comes section of mobile networks
followed by big data itself and tools used in thesis. Thesis was project-based, so
before the project itself, there comes section of test environment, which includes
parts dedicated to test line, TTI trace and NPAS.
The author created a fully automated dataflow from collecting TTI trace logs to
visualizing the data in Apache Superset. First TTI traces are collected and then it
is transferred via NiFi and decoded with Nokia?s internal TtiTraceHelper tool. After
that, decoded CSV files are parsed and modified via python script. Then those
new CSVs are sent to Apache Druid through Apache Kafka. Druid can easily
manage the data and forward it to Apache Superset for visualization. For separating the real UEs from other testing devices, the UE?s IMSIs are needed for
identification. IMSI provider server is used to collect those IMSIs, and they are
mapped together based on RNTIs which are included in both TTI trace and IMSI
provider server?s logs. The python parsing script is being used for the mapping.
The result was not as expected since IMSIs could not be mapped in every situation of testing. Some tools used in the thesis did not work as planned and only
some of the IMSIs could be mapped with TTI trace.
Almost all phases of work were done as trial and error to see how things turn out.
Usage of earlier mentioned tools came up as the project was progressing. Still a
lot of improvements can be done for the system such as optimization work and
data management.";1;NOKIA_COLLABORATION;1
195;"Internal test feature validation and usage in design testing The topic of this thesis was the validation and usage of internal test feature within System on Chip (SoC), commissioned by Nokia Oyj. The primary objective was to create a test specification for the capture insertion tool, validate the feature, and determine its use case in SoC validation.

The work involved creating a test specification for the feature and developing tests with Robot Framework to capture and insert data. These functionalities were tested in an Emulation environment. The capture function enabled capturing data from specified points within the data path, while the insertion function allowed inserting data into existing points.

The analysis was conducted using a Python-based tool to check key metrics such as Error Vector Magnitude, Time and Frequency Offsets, IQ/RF Power Levels, and Signal-to-Noise ratio or Modulation Error Ratio. The results highlighted the differences in performance metrics, identifying areas that required further debugging.

The result of this thesis was comprehensive understanding of the capture insertion tool?s operation and its benefits in SoC Validation, providing valuable insights into isolating, validating, and debugging individual subsystems within the SoC.";1;NOKIA_COLLABORATION;1
197;"Tuotetestausohjeiden p?ivitt?minen NEBS-vaatimusten mukaisiksi Opinn?ytety? tehtiin Nokia Oyj:lle Oulussa. Opinn?ytety?ss? laajensimme tuoteverifiointiorgani
saation kyvykkyytt? suorittaa NEBS-testausta, jotta jatkossa NEBS-testauskierroksia ei tarvitsisi 
teett?? muualla. Ty?n tavoitteena oli luoda NEBS-standardit t?ytt?v? mekaanisten tuotetestien oh
jedokumentti, testaustulosten raportointipohja, jota voitaisiin k?ytt?? ulkoisen toimijan auditoin
nissa. Lis?ksi ty?n tavoitteena oli testata mekaanisten tuotetestausohjeiden toimivuus k?yt?n
n?ss?. Testaaminen toteutettiin organisaatiossa ty?skentelev?n testaajan avustuksella, joka ei ollut 
aikaisemmin suorittanut ohjeissa mainittuja mekaanisia tuotetestej?.
 
Ty?n aikana selvitettiin perusteellisesti teoriaa, joka liittyi NEBS-testauksessa sovellettaviin stan
dardeihin. Kyseiset standardit m??ritteliv?t yksityiskohtaisesti, mit? vaatimuksia eri testien tuli t?yt
t?? sek? mill? tavoin testausmenetelm?t oli toteutettava, jotta testauksen katsottaisiin olevan suo
ritettu vaatimusten mukaisesti. Standardit toimivat selke?n? ohjenuorana testausohjeiden laatimi
sessa ja testausprosessin rakenteistamisessa.
 
Ty?n loppuvaiheessa laadittiin my?s erillinen testausraporttipohja, jota k?ytettiin testitulosten kir
jaamiseen ja esitt?miseen. T?m?n dokumentin sis?lt? perustui niin ik??n samoihin NEBS-standar
deihin, joissa oli m??ritelty tarkasti, mit? tietoja raportoinnin tuli sis?lt??. Raporttipohjan tarkoituk
sena oli varmistaa, ett? testitulokset esitet??n johdonmukaisesti, selke?sti ja arvioinnin kannalta 
riitt?v?ll? tarkkuudella, mik? tukee my?s auditoinnin ja mahdollisen p?tevyyden saavuttamisen 
edellytyksi?.
 
Opinn?ytety?n tuloksena saimme kasvatettua organisaatiomme tuotetestauskyvykkyytt?, joka oli
kin alussa m??ritelty tavoite. Opinn?ytety?n ansiosta organisaatio voi tehd? NEBS-tuotetestej? to
distetusti standardien mukaisesti ja voi todistaa asiakkailleen p?tevyytens?.";1;NOKIA_COLLABORATION;1
199;"Automated Testing and Monitoring System for Power Product Quality Assurance This thesis was about making an automated testing and monitoring tool for power supply units (PSUs) used in telecom cabinets. The work was done for Nokia Networks. The main goal was to create a tool that helps test PSU features quickly and reliably, so they meet quality standards before use in the field and also help with troubleshooting known issues with the PSUs.
At the start, different technologies were studied, such as Robot Framework for test automation, Python for writing custom test steps, and SNMP for talking to the devices. The automation tool was developed by creating reusable test steps, Python libraries, using Selenium for web automation, and API for firmware management and updates. The tests included verifying the firmware update process, testing the behavior of the power cabinet under different settings, automating configuration changes through the web interface, generating clear test reports, and storing measurement data in Excel charts. Special attention was given to testing the Virtual Power Plant (VPP) feature, which allows the PSU to help balance the electricity grid by switching between grid and battery power quickly.
The results showed that the new tool made PSU testing faster and more reliable. Automated tests covered many PSU features, and detailed reports helped find and fix problems.
In conclusion, the tool improved the quality assurance process for power products and saved manual work. In the future, a graphical user interface and real-time monitoring could be added. The solutions in this thesis can help with similar testing needs later on.";1;NOKIA_COLLABORATION;1
264;"React-Based Chatbot UI for Generative AI: a reusable and extensible framework for Nokia R&D The explosive development of Artificial Intelligence (AI) has revolutionized human-computer interaction, with intelligent chatbots emerging as a pivotal technology in the digital landscape. In this thesis, a React-based chatbot user interface framework is developed for integration within Nokia's research and development teams. The framework aims to create a reusable and expandable solution for leveraging powerful Large Language Models (LLMs) within Nokia, particularly by addressing internal operational requirements and private data protection. 
The primary objective is to create a chatbot that leverages Large Language Models (LLMs) to give users easy access to Nokia's internal knowledge base in addition to replicating conversational Artificial intelligence capabilities. The framework emphasizes scalability, simplicity of customization, and successful interaction with current Nokia platforms by leveraging React, NodeJS, Express and Docker technologies. This work sets the groundwork for future artificial intelligence-driven products at Nokia by advancing the theoretical understanding of chatbot generation and practical applications in artificial intelligence systems.
By documenting both the architectural decisions and the deployment pipeline, the thesis provides a template that other internal teams may use when developing or scaling secure, AI-driven chat interfaces. This study thus contributes useful insights and a framework for advancing enterprise-grade conversational AI applications.";1;NOKIA_COLLABORATION;1
